127.0.0.1 - - [30/Apr/2024:08:23:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:23:59 +0900] "GET /school_30111/jumlist.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:23:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:24:14 +0900] "GET /school_30111/jumlist.jsp HTTP/1.1" 200 4604
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:24:36 +0900] "GET /school_30111/header.jsp HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:25:01 +0900] "GET /school_30111/index.jsp HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:25:02 +0900] "GET /school_30111/slist.jsp HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:25:04 +0900] "GET /school_30111/insert.jsp HTTP/1.1" 200 3146
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:25:04 +0900] "GET /school_30111/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:25:05 +0900] "GET /school_30111/jumlist.jsp HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:25:07 +0900] "GET /school_30111/insert.jsp HTTP/1.1" 200 3146
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:25:18 +0900] "POST /school_30111/i_ation.jsp HTTP/1.1" 200 3146
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:25:20 +0900] "GET /school_30111/jumlist.jsp HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:25:24 +0900] "GET /school_30111/jumlist.jsp HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:25:25 +0900] "GET /school_30111/jumlist.jsp HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:25:26 +0900] "GET /school_30111/jumlist.jsp HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:31:37 +0900] "GET /school_30111/jumlist.jsp HTTP/1.1" 200 4608
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:31:37 +0900] "GET /school_30111/jumlist.jsp HTTP/1.1" 200 4608
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:31:37 +0900] "GET /school_30111/jumlist.jsp HTTP/1.1" 200 4608
0:0:0:0:0:0:0:1 - - [30/Apr/2024:08:31:37 +0900] "GET /school_30111/jumlist.jsp HTTP/1.1" 200 4608
